행정 용어,쉬운 한국어 풀이,영어,베트남어,중국어,일본어
기준 중위소득,대한민국 국민을 소득순으로 세웠을 때 딱 중간에 있는 사람의 소득,Standard Median Income,Thu nhập trung bình chuẩn,标准中位数收入,基準中位所得
차상위계층,기초생활수급자는 아니지만 그 바로 위 단계로 형편이 어려운 계층,Second-lowest Income Bracket,Hộ cận nghèo,次低收入群体,次上位階層
부양의무자,"나를 경제적으로 먹여 살려야 할 책임이 있는 가족 (부모, 자식 등)",Person Liable for Support,Người có nghĩa vụ cấp dưỡng,抚养义务人,扶養義務者
확정일자,이사 온 날짜를 관공서에서 공식적으로 도장 찍어 인정해 주는 것,Fixed Date,Ngày xác nhận trên hợp đồng thuê nhà,确定日期（租赁合同确认日）,確定日付
전입신고,내가 이 동네로 이사 왔다고 주민센터에 공식적으로 알리는 것,Move-in Notification (Address registration),Khai báo chuyển chỗ ở,迁入申报 (户口迁入),転入届
바우처,현금 대신 정부에서 주는 포인트 카드나 쿠폰,Voucher (Government Subsidy Card),Thẻ trợ cấp (Voucher),福利券 (代金券),バウチャー (利用券)
수급자,정부의 복지 혜택이나 지원금을 받을 자격이 통과된 사람,Beneficiary,Người thụ hưởng,受益者,受給者
가구원 수,"주민등록등본에 나와 있는, 같이 사는 가족의 총인원 수",Number of household members,Số người trong hộ gia đình,家庭成员数,世帯員数
단기근로자,계약 기간이 짧거나 하루에 일하는 시간이 짧은 알바생,Short-term Worker,Lao động ngắn hạn,短期劳动者 (打工者),短期労働者
임대차 계약서,방이나 집을 빌릴 때 집주인과 작성하는 공식 계약 서류,Lease Agreement,Hợp đồng thuê nhà,房屋租赁合同,賃貸借契約書
소득인정액,"내 월급과 재산(집, 차 등)을 합쳐서 정부가 계산한 나의 경제적 능력",Recognized Income Amount,Thu nhập được công nhận,认定收入额,所得認定額
주민등록등본,"우리 가족이 어디에 사는지, 누가 같이 사는지 보여주는 공식 서류",Certified Copy of Resident Registration,Bản sao giấy đăng ký cư trú,住民登录表（誊本）,住民登録謄本
보증금,집이나 방을 빌릴 때 집주인에게 맡겼다가 나중에 돌려받는 큰 돈,Security Deposit,Tiền cọc (Tiền bảo lãnh),保证金 (押金),保証金 (敷金)
청년수당,취업 준비를 하거나 소득이 적은 청년에게 정부가 주는 지원금,Youth Allowance,Trợ cấp thanh niên,青年津贴,青年手当
